Time,Fx,Fy,Fz,Tx,Ty,Tz,
26.3,-233.6209,22.49693,249.9036,6.387678,-39.21805,10.32834, 
26.4,-140.2238,19.26141,267.6395,7.996005,-24.30094,12.54451, 
26.5,-130.9292,17.80115,280.6324,7.634498,-25.39356,11.38689, 
26.6,-257.2906,10.11891,232.5511,6.124671,-41.25573,11.15855, 
26.7,-154.0155,3.913925,283.4753,4.589232,-30.2995,8.491409, 
26.8,-109.7349,9.54705,291.0855,3.823829,-28.03344,5.825364, 
26.9,-44.34679,27.80008,257.3433,1.22956,-29.42231,4.420081, 
27,-93.99003,24.85326,257.6551,0.620746,-32.27034,6.690276, 
27.1,-85.08488,17.59389,274.9746,1.424956,-20.81186,7.823908, 
27.2,-36.16784,-4.59935,302.5476,3.565848,-8.733272,11.06281, 
27.3,-53.74755,12.13794,235.2212,1.52003,-19.66322,11.55614, 
27.4,-64.41412,18.43256,209.6183,0.967512,-27.3801,8.426975, 
27.5,-71.00625,10.73814,205.5018,2.459298,-29.25019,9.571938, 
27.6,-70.67101,13.7393,207.1496,1.710213,-28.22533,9.861502, 
27.7,-69.85583,12.30058,207.7031,2.210984,-28.06705,10.07958, 
27.8,-70.47713,12.72126,206.5676,2.044918,-28.61783,9.731866, 
27.9,-68.61481,13.58438,206.9315,1.962518,-28.12665,9.577138, 
28,-68.30688,13.71991,206.5568,1.787506,-28.10612,9.771328, 
28.1,-68.4812,13.3351,206.5236,1.98718,-28.1173,9.782848, 
28.2,-69.39434,13.48178,207.2558,2.109533,-28.50448,9.612592, 
28.3,-68.67745,13.53055,206.4623,2.010635,-27.95716,9.978042, 
28.4,-69.59495,12.90108,207.1848,2.015329,-28.33223,9.739854, 
28.5,-69.25186,13.78326,207.009,1.937931,-28.19768,9.754228, 
28.6,-69.14832,13.54158,206.8825,1.973855,-28.12612,9.837992, 
28.7,-69.63383,13.10949,206.2747,2.086376,-28.29528,9.831582, 
28.8,-69.27685,13.47867,206.3563,2.059946,-28.32765,9.75644, 
28.9,-39.71155,30.0077,172.9969,0.300731,-27.34758,8.733134, 
29,-20.15108,44.66954,131.4919,-1.487171,-27.62137,8.238734, 
29.1,-16.27122,28.08715,148.498,0.828707,-21.71823,10.63307, 
29.2,-65.73915,13.75559,193.3113,3.288135,-27.53584,10.62432, 
29.3,-114.4931,-0.1001125,262.812,4.967064,-27.1549,9.446281, 
29.4,-110.3104,4.949088,277.8285,4.761998,-26.51462,9.754618, 
29.5,-71.40948,13.09094,251.0745,3.028259,-21.80991,9.419414, 
29.6,-49.24674,20.51101,201.8405,2.057458,-23.21473,8.714506, 
29.7,-56.67141,9.715962,210.3997,3.773374,-22.7017,12.55143, 
29.8,-67.66222,15.18262,199.1829,3.296794,-25.69479,10.66584, 
29.9,-65.5735,15.17537,200.4978,3.240379,-25.82884,10.83162, 
30,-69.35133,13.13026,203.02,3.054118,-25.70552,11.60391, 
30.1,-69.64564,16.58019,204.9882,2.417506,-25.58873,10.63285, 
30.2,-73.39251,22.97944,201.9076,1.615078,-26.06907,10.79103, 
30.3,-58.24714,16.84451,200.1569,3.09069,-25.14214,14.51714, 
30.4,-70.10385,23.43682,205.2576,1.577462,-25.15774,10.64968, 
30.5,-68.02825,13.5154,207.8039,2.682661,-23.86408,14.20817, 
30.6,-64.74373,22.42971,201.5186,1.993814,-24.32104,12.79395, 
30.7,-66.22725,23.32949,199.3184,1.475951,-25.01024,10.97931, 
30.8,-50.11875,13.29202,204.4524,2.661793,-21.01067,17.18333, 
30.9,-74.96749,28.77385,190.1303,0.850557,-26.47669,10.96727, 
31,-69.88445,17.22994,195.2853,1.9314,-25.76171,12.76266, 
31.1,-60.51416,17.57027,199.9291,2.430842,-25.67679,12.27165, 
31.2,-48.04141,30.05425,197.9346,1.205247,-23.95802,12.90527, 
31.3,-15.84748,70.85573,194.5513,-3.781743,-29.25213,-7.418196, 
31.4,234.0704,-335.0901,-14.1863,250.1485,-37.16883,88.7779, 
31.5,76.19466,415.3854,28.22559,-43.60907,-63.0737,-76.23247, 
31.6,50.59243,7.0092,174.3203,5.653342,-19.4709,24.6085, 
31.7,-76.24104,-110.8449,153.1631,15.96371,-49.68102,53.86136, 
31.8,-41.11246,7.153875,177.0535,0.233658,-41.27385,21.17912, 
31.9,-109.8015,-0.1013375,151.9487,2.183234,-48.65583,12.77682, 
32,-170.3953,-19.36926,156.4439,4.624814,-63.13069,19.39769, 
32.1,-174.5987,-55.29621,155.5195,10.72767,-66.69342,27.80122, 
32.2,-110.0037,3.372612,198.2817,3.057454,-27.77361,11.80852, 
32.3,-44.90821,7.584713,195.6273,3.08255,-25.94658,14.34601, 
