,Fx,Fy,Fz,Tx,Ty,Tz
11.6,-45.39217,-29.89765,37.86445,5.895275,-25.97122,7.933348
11.7,-29.48715,-18.771,13.69668,4.756233,-31.77337,3.92725
11.8,-31.45475,-9.7489,23.59431,3.00625,-31.56022,1.80492
11.9,-40.83112,-18.42314,26.60184,4.418969,-30.84935,3.926422
12,-35.85411,-12.69201,21.06414,4.207968,-31.89893,1.869855
12.1,-39.30169,-15.34072,19.51127,4.36125,-32.48902,2.736599
12.2,-38.38934,-13.68834,21.85634,3.968909,-31.7559,2.485891
12.3,-39.0381,-13.88476,21.603,3.787116,-32.30735,2.372744
12.4,-45.01024,-2.161925,13.6187,3.351635,-32.59945,3.989529
12.5,-50.27085,-4.614913,10.35444,2.978386,-33.71907,0.786139
12.6,-66.02596,10.93038,19.23114,3.034783,-33.95949,2.486627
12.7,476.7805,106.7965,203.1673,-16.80867,-68.80618,-17.97548
12.8,-117.8157,5.5924,-24.0689,4.309114,-58.15453,4.10919
12.9,-54.99807,7.66705,12.22729,1.72241,-26.16195,3.740541
13,-64.31477,26.43259,-14.0198,-2.895633,-35.8237,-3.529173
13.1,-68.94794,-20.67019,-10.10592,4.619347,-38.42265,-0.544023
13.2,-52.39595,-2.915237,17.94349,2.058575,-30.05427,2.276702
13.3,-43.38695,-6.136675,11.47236,2.52692,-30.02378,1.49081
13.4,-45.77473,-14.25263,17.62996,3.374489,-30.895,1.736025
13.5,-37.0669,-11.96519,20.71991,3.000675,-28.24273,2.553892
13.6,-36.91695,-17.06844,24.08056,3.772741,-28.02297,2.993329
13.7,-35.95291,-14.47931,25.33665,3.382279,-27.46479,2.638624
13.8,-39.26645,-17.77699,25.02986,3.869942,-29.03384,3.851676
13.9,-38.12872,-11.36955,22.51496,3.040187,-29.67953,1.719187
14,-100.3165,-27.51816,-28.2418,3.667372,-42.15499,8.159838
14.1,0.6671125,3.114063,3.062912,2.766482,-29.55437,0.992796
14.2,-19.51102,-33.84579,48.12106,5.044669,-21.81988,4.260241
14.3,-59.3028,-46.4422,55.76793,7.704715,-28.96097,9.872336
14.4,-52.53791,-24.83341,24.23235,4.594975,-34.60367,4.572298
14.5,-32.3544,-11.41035,16.21383,3.709915,-31.9355,-0.29713
14.6,-44.94423,-19.76981,23.50928,3.963666,-32.55734,2.276609
14.7,-40.68901,-12.97251,22.43307,3.531015,-32.02928,2.338573
14.8,-37.51926,-15.15019,17.26208,4.204948,-32.98678,2.67503
14.9,-40.09011,-13.19021,23.27144,4.203897,-31.61218,2.327242
15,-37.74811,-14.672,20.99359,4.08973,-31.66736,3.148346
15.1,-39.1827,-12.29526,20.75707,3.633766,-32.42052,2.006266
15.2,-45.29165,-2.449137,13.14662,3.026642,-33.634,3.680561
15.3,-48.70958,-7.771963,8.46,3.30272,-33.34158,1.718981
15.4,-60.27388,0.756475,11.75173,3.422454,-33.86687,2.326234
15.5,76.71738,13.55279,117.9912,-6.034543,-10.32949,2.992798
15.6,-126.3381,14.02609,-14.68095,3.131939,-60.83204,4.030329
15.7,-54.98614,2.869787,13.38694,2.22098,-27.39815,3.69556
15.8,-65.56509,25.96602,-9.383875,-2.883313,-33.59727,-3.367628
15.9,-73.87849,-12.6189,-14.58761,3.873567,-39.68847,-1.615214
16,-56.74669,1.191488,11.61448,1.505164,-31.65264,1.473671
16.1,-43.79981,-3.6831,10.22155,2.203126,-30.20871,1.23147
16.2,-47.37625,-13.73309,14.72154,3.294564,-31.34207,2.036957
16.3,-38.77663,-10.32691,18.73951,2.795331,-28.77366,2.189871
16.4,-39.78841,-15.29989,20.6897,3.597943,-29.03396,2.955321
16.5,-37.49569,-13.28186,22.91926,3.251775,-28.07012,2.612205
16.6,-36.21318,-15.19977,22.90345,3.705961,-29.25049,3.945895
16.7,-38.81984,-10.82456,20.83526,2.96964,-29.38149,1.562938
16.8,-99.52573,-49.92939,-28.81383,4.105509,-41.923,6.29887
16.9,-1.382425,9.66045,8.0346,2.318686,-29.12882,2.375919
17,-17.85496,-34.14446,45.45306,4.976078,-22.1574,4.499014
17.1,-49.47714,-56.4817,54.43811,9.809379,-28.19403,9.630636
17.2,-46.9852,-20.6685,24.66892,4.079439,-33.7537,4.322341
17.3,-31.58766,-12.8919,14.76454,3.807539,-31.49774,-0.510283
17.4,-44.9278,-19.36096,23.51634,3.917144,-32.60185,2.2547
17.5,-40.7971,-13.18826,21.7584,3.523515,-32.05569,2.429584
17.6,-37.35959,-14.85211,16.78034,4.150516,-33.04504,2.834727
17.7,-40.13832,-13.55694,23.01695,4.196472,-31.72938,2.321585
17.8,-38.10791,-14.65139,20.42702,4.071926,-31.82759,3.090489
17.9,-38.70071,-12.58719,20.33273,3.601865,-32.32449,1.993789
18,-73.1772,-28.37414,20.11706,4.790895,-34.72178,2.631078
18.1,-46.23175,-8.145363,17.1177,3.264174,-32.14009,2.345672
18.2,-55.23743,-15.41181,17.14528,3.867406,-32.47608,3.203739
18.3,-77.56316,-11.94859,19.30989,3.922104,-32.71313,2.07613
18.4,-120.1849,-3.37055,75.47797,-4.316923,-23.97927,-6.37524
18.5,-34.92693,-21.18505,-34.84729,4.776703,-42.37199,4.063456
18.6,-33.78919,-4.018312,-3.211725,1.894339,-31.13483,3.639911
18.7,-27.4006,-19.05291,47.28477,4.744048,-20.65549,5.321901
18.8,-31.50784,-19.4803,28.8046,3.902017,-26.97941,3.965265
18.9,-27.3024,-20.93986,27.30579,3.956137,-26.30455,3.756606
19,-26.46092,-22.6181,38.91405,4.265102,-24.80341,2.947849
19.1,-29.0596,-20.47879,29.44936,3.683847,-26.37667,3.697469
19.2,-29.74436,-17.2165,29.60996,3.659901,-26.57253,2.679684
19.3,-34.49318,-18.75259,26.24178,3.739155,-27.79968,3.299463
19.4,-37.61334,-16.16255,28.98819,3.397946,-28.6895,1.577613
19.5,-36.09741,-16.42469,22.46575,3.583493,-29.07865,3.43122
19.6,-48.03482,-22.0341,55.68114,5.48136,-26.71471,-7.050393
19.7,24.45181,-29.32472,52.97201,5.412466,-11.25664,3.93806
19.8,-24.94539,-51.85761,34.04779,6.167061,-33.55249,5.180298
19.9,-46.99273,-66.28655,46.32241,6.058243,-25.91323,0.479253
20,-14.92744,-5.097938,2.6463,2.859985,-31.16041,0.578353
20.1,-33.38118,-3.54025,16.0117,2.897116,-32.96145,-0.690765
20.2,-46.82905,-17.02961,21.59802,4.017909,-32.48137,3.936431
20.3,-38.22686,-10.8717,16.85825,3.185926,-31.4549,2.424444
20.4,-38.10997,-10.52598,19.6866,3.561805,-31.98524,2.152746
20.5,-42.78761,-15.8406,18.275,4.530834,-32.68363,3.194373
20.6,-39.63675,-10.59604,17.68159,3.567357,-32.65417,1.786412
20.7,-40.76633,-13.96451,18.43328,3.868645,-32.72288,2.544017
20.8,-73.11264,-5.675775,14.69837,3.432547,-36.09517,3.17802
20.9,-48.71312,-4.908937,11.20189,3.000429,-32.8098,2.578009
21,-65.52081,-17.56507,17.50649,2.757497,-32.54789,2.390317
21.1,-84.91316,-11.4302,13.79364,3.889617,-33.87945,2.381522
21.2,-145.396,69.69627,67.57813,-5.940455,-25.20209,2.349735
21.3,-37.30563,-18.00954,-24.6179,4.844818,-35.44096,4.14002
21.4,-36.00355,-10.41331,-32.4927,2.202169,-39.61892,3.400976
21.5,-36.83899,-17.35196,33.72678,4.446049,-24.44133,3.694054
21.6,-33.4292,-17.05301,29.52516,3.723073,-26.32488,3.926457
21.7,-29.13713,-22.23121,22.39042,4.093272,-27.16203,3.712816
21.8,-28.20925,-21.59655,36.08372,4.124771,-25.19175,2.868568
21.9,-29.11577,-20.42223,30.47849,3.687573,-25.92494,3.526437
22,-29.293,-18.42018,29.48384,3.811085,-26.24712,2.998088
22.1,-34.16424,-18.53168,26.58327,3.742806,-27.60746,3.138032
22.2,-30.2189,-22.18493,29.49166,4.141149,-29.3136,2.303826
22.3,-35.6604,-16.26161,26.16471,3.651701,-27.18379,2.937287
22.4,48.80526,17.63254,63.04258,-0.631137,-7.470787,3.632055
22.5,-22.21334,-39.0148,34.06797,5.472402,-32.56868,3.956283
22.6,-51.43455,-24.03825,62.3723,4.656805,-22.49014,4.114174
22.7,-144.9977,-7.9775,60.26455,2.638307,-31.13088,3.581075
22.8,-30.59642,-4.547637,1.18155,2.91297,-29.55384,-8.103039
22.9,-53.63891,-10.25524,16.47096,3.263467,-33.67364,-2.203153
23,-51.42937,-15.26839,20.6735,3.702779,-33.76538,2.178658
23.1,-37.50426,-12.41864,9.857075,3.305514,-33.77753,2.605711
23.2,-43.11249,-10.71726,19.28683,3.367359,-33.19862,1.631695
23.3,-42.04213,-15.35614,16.5723,4.373655,-33.25832,2.849436
23.4,-39.45096,-11.84424,18.58316,3.577657,-32.50297,2.37066
23.5,-39.99913,-13.3454,19.30636,3.658614,-32.30526,2.736968
