Time,Fx,Fy,Fz,Tx,Ty,Tz
12.4,-77.80737,22.48988,215.5455,1.386906,-23.6345,11.06012
12.5,-20.48399,-41.50243,200.6628,10.0718,-23.0622,11.0619
12.6,38.30973,42.85545,190.1364,-1.180968,-15.61989,2.858387
12.7,33.09267,50.76475,205.1729,0.229447,-12.62989,0.129698
12.8,-43.02948,51.83224,244.1347,-0.322172,-19.70307,5.725778
12.9,-105.6527,49.84556,216.182,0.447637,-28.93731,6.11209
13,-121.3173,30.0221,192.0025,1.61738,-30.73861,6.629152
13.1,-57.74419,15.63971,197.3757,2.2393,-25.99906,9.433276
13.2,-36.48199,13.98379,202.2472,2.396061,-22.62904,11.28581
13.3,-62.50681,12.33473,202.1683,3.393355,-26.0608,8.783549
13.4,-58.79827,6.24715,208.7738,4.59774,-22.84455,11.46675
13.5,-61.38548,18.08786,203.1816,3.388532,-24.094,10.84309
13.6,-63.26746,15.79093,201.55,3.134109,-24.27115,9.92555
13.7,-80.60188,14.40236,198.5526,2.503725,-25.78747,9.83832
13.8,-80.57734,13.41081,199.2647,3.03715,-24.7354,9.851485
13.9,-60.68087,17.31514,201.8316,2.023191,-25.60998,10.02088
14,-17.81165,26.99911,271.3134,2.374963,-2.215,1.283543
14.1,-182.5144,135.1996,177.1705,54.55503,-71.65768,50.51936
14.2,-104.8234,-65.28141,160.2418,29.06191,-91.71162,67.247
14.3,157.392,-45.75872,70.95318,9.036632,-35.17466,9.894506
14.4,-61.75699,31.19807,186.5817,1.503743,-33.01026,4.204392
14.5,-72.77121,17.41994,151.7798,1.252479,-48.50932,12.10574
14.6,-86.47745,-29.46266,192.0377,7.51685,-36.59661,21.19754
14.7,-128.561,-55.03169,193.4242,11.33351,-41.57787,24.04377
14.8,-135.3615,-62.24854,177.9509,11.91233,-47.94516,19.6951
14.9,-93.8931,-7.172513,219.7362,5.806834,-30.32348,7.851632
15,-1.100475,-27.91216,288.3631,5.379193,-5.853151,10.21478
15.1,-25.42185,-33.07966,265.8151,5.627472,-17.69192,15.05898
15.2,-5.720575,-9.47125,339.8605,5.547199,-5.840681,13.4391
15.3,-45.47554,18.47086,256.0109,2.358245,-19.71329,4.227357
15.4,-96.40225,24.53671,247.3467,1.922991,-25.40081,6.278144
15.5,-126.6485,56.95362,204.9046,-0.955506,-33.05926,3.947378
15.6,-165.7887,84.19602,180.9678,-5.091905,-39.0695,2.756289
15.7,71.89455,53.56629,299.5861,-0.23212,-5.129951,6.175505
15.8,1.93605,10.00254,331.385,7.182363,-1.696567,13.65998
15.9,-263.3474,-6.728813,237.9919,9.206086,-41.91113,9.82089
16,-197.8838,7.273488,260.3867,8.530994,-31.61833,9.69312
16.1,-127.3225,5.230338,279.6092,9.860213,-21.73345,10.20076
16.2,-369.2936,14.238,184.4245,5.45712,-55.61082,13.4222
16.3,-107.7801,13.18507,301.0436,1.183418,-28.17176,6.84389
16.4,66.66436,21.73232,285.8494,3.065705,-23.27691,2.225626
16.5,-105.1019,24.32424,249.9903,1.452353,-35.48141,5.565192
16.6,-79.62589,20.85425,262.2237,0.262679,-24.92096,10.63825
16.7,-20.26493,-13.52693,316.8073,5.646396,-4.401108,10.9129
16.8,-57.45343,20.46669,233.7222,0.918057,-22.92413,6.03224
16.9,-53.95505,12.33237,208.5213,2.131861,-27.55973,7.993588
17,-59.3596,8.105588,207.572,2.794694,-28.23026,9.485234
17.1,-61.45975,10.79753,213.2541,2.282459,-27.7111,8.845828
17.2,-60.29339,9.41385,211.6291,2.707477,-27.00076,9.810682
17.3,-61.65761,9.422313,210.1698,2.797644,-27.82641,9.282085
17.4,-60.53349,11.33407,210.0121,2.430092,-27.63071,9.005969
17.5,-59.77164,10.98477,208.2607,2.392718,-27.3518,9.274151
17.6,-61.556,10.79117,209.1396,2.34853,-27.95209,9.040556
17.7,-61.90391,11.27316,208.6872,2.565985,-27.75938,9.08895
17.8,-61.72714,10.98013,209.378,2.542834,-27.82421,9.250411
17.9,-61.69671,11.06609,208.6422,2.519086,-27.67732,9.228638
18,-62.19546,11.09275,208.7116,2.450939,-28.00704,9.02279
18.1,-61.39565,11.50712,208.1116,2.334879,-27.57132,9.235328
18.2,-61.75755,11.03115,208.761,2.528011,-27.9795,9.129792
18.3,-61.58499,11.67444,208.3303,2.48704,-27.71983,9.125188
18.4,-61.48798,11.14272,208.7431,2.543536,-27.85971,9.166291
18.5,-59.37361,16.60211,195.1987,1.875081,-28.4098,9.075631
